v2	V(vbb)	V(vcc)	I(I1)	I(V2)	Ib(Q1)	Ic(Q1)	Ie(Q1)
-2.770000000000026e+00	-6.608466e-01	-2.770000e+00	-1.800000e-05	3.826862e-03	-1.800000e-05	-3.826862e-03	3.844862e-03
-2.760000000000026e+00	-6.608465e-01	-2.760000e+00	-1.800000e-05	3.826380e-03	-1.800000e-05	-3.826380e-03	3.844380e-03
-2.750000000000027e+00	-6.608464e-01	-2.750000e+00	-1.800000e-05	3.825898e-03	-1.800000e-05	-3.825898e-03	3.843897e-03
-2.740000000000027e+00	-6.608463e-01	-2.740000e+00	-1.800000e-05	3.825415e-03	-1.800000e-05	-3.825415e-03	3.843415e-03
-2.730000000000027e+00	-6.608462e-01	-2.730000e+00	-1.800000e-05	3.824933e-03	-1.800000e-05	-3.824933e-03	3.842933e-03
-2.720000000000027e+00	-6.608461e-01	-2.720000e+00	-1.800000e-05	3.824451e-03	-1.800000e-05	-3.824451e-03	3.842450e-03
-2.710000000000027e+00	-6.608461e-01	-2.710000e+00	-1.800000e-05	3.823968e-03	-1.800000e-05	-3.823968e-03	3.841968e-03
-2.700000000000028e+00	-6.608459e-01	-2.700000e+00	-1.800000e-05	3.823486e-03	-1.800000e-05	-3.823486e-03	3.841486e-03
-2.690000000000028e+00	-6.608458e-01	-2.690000e+00	-1.800000e-05	3.823003e-03	-1.800000e-05	-3.823003e-03	3.841003e-03
-2.680000000000028e+00	-6.608458e-01	-2.680000e+00	-1.800000e-05	3.822521e-03	-1.800000e-05	-3.822521e-03	3.840521e-03
-2.670000000000028e+00	-6.608456e-01	-2.670000e+00	-1.800000e-05	3.822039e-03	-1.800000e-05	-3.822039e-03	3.840039e-03
-2.660000000000029e+00	-6.608455e-01	-2.660000e+00	-1.800000e-05	3.821556e-03	-1.800000e-05	-3.821556e-03	3.839556e-03
-2.650000000000029e+00	-6.608455e-01	-2.650000e+00	-1.800000e-05	3.821074e-03	-1.800000e-05	-3.821074e-03	3.839074e-03
-2.640000000000029e+00	-6.608453e-01	-2.640000e+00	-1.800000e-05	3.820592e-03	-1.800000e-05	-3.820592e-03	3.838592e-03
-2.630000000000029e+00	-6.608453e-01	-2.630000e+00	-1.800000e-05	3.820109e-03	-1.800000e-05	-3.820109e-03	3.838109e-03
-2.620000000000029e+00	-6.608452e-01	-2.620000e+00	-1.800000e-05	3.819627e-03	-1.800000e-05	-3.819627e-03	3.837627e-03
-2.610000000000030e+00	-6.608450e-01	-2.610000e+00	-1.800000e-05	3.819145e-03	-1.800000e-05	-3.819145e-03	3.837144e-03
-2.600000000000030e+00	-6.608450e-01	-2.600000e+00	-1.800000e-05	3.818662e-03	-1.800000e-05	-3.818662e-03	3.836662e-03
-2.590000000000030e+00	-6.608449e-01	-2.590000e+00	-1.800000e-05	3.818180e-03	-1.800000e-05	-3.818180e-03	3.836180e-03
-2.580000000000030e+00	-6.608447e-01	-2.580000e+00	-1.800000e-05	3.817698e-03	-1.800000e-05	-3.817698e-03	3.835697e-03
-2.570000000000030e+00	-6.608447e-01	-2.570000e+00	-1.800000e-05	3.817215e-03	-1.800000e-05	-3.817215e-03	3.835215e-03
-2.560000000000031e+00	-6.608446e-01	-2.560000e+00	-1.800000e-05	3.816733e-03	-1.800000e-05	-3.816733e-03	3.834733e-03
-2.550000000000031e+00	-6.608445e-01	-2.550000e+00	-1.800000e-05	3.816250e-03	-1.800000e-05	-3.816250e-03	3.834250e-03
-2.540000000000031e+00	-6.608444e-01	-2.540000e+00	-1.800000e-05	3.815768e-03	-1.800000e-05	-3.815768e-03	3.833768e-03
-2.530000000000031e+00	-6.608443e-01	-2.530000e+00	-1.800000e-05	3.815286e-03	-1.800000e-05	-3.815286e-03	3.833286e-03
-2.520000000000032e+00	-6.608442e-01	-2.520000e+00	-1.800000e-05	3.814803e-03	-1.800000e-05	-3.814803e-03	3.832803e-03
-2.510000000000032e+00	-6.608441e-01	-2.510000e+00	-1.800000e-05	3.814321e-03	-1.800000e-05	-3.814321e-03	3.832321e-03
-2.500000000000032e+00	-6.608440e-01	-2.500000e+00	-1.800000e-05	3.813839e-03	-1.800000e-05	-3.813839e-03	3.831839e-03
-2.490000000000032e+00	-6.608439e-01	-2.490000e+00	-1.800000e-05	3.813356e-03	-1.800000e-05	-3.813356e-03	3.831356e-03
-2.480000000000032e+00	-6.608438e-01	-2.480000e+00	-1.800000e-05	3.812874e-03	-1.800000e-05	-3.812874e-03	3.830874e-03
-2.470000000000033e+00	-6.608437e-01	-2.470000e+00	-1.800000e-05	3.812392e-03	-1.800000e-05	-3.812392e-03	3.830392e-03
-2.460000000000033e+00	-6.608436e-01	-2.460000e+00	-1.800000e-05	3.811909e-03	-1.800000e-05	-3.811909e-03	3.829909e-03
-2.450000000000033e+00	-6.608435e-01	-2.450000e+00	-1.800000e-05	3.811427e-03	-1.800000e-05	-3.811427e-03	3.829427e-03
-2.440000000000033e+00	-6.608434e-01	-2.440000e+00	-1.800000e-05	3.810945e-03	-1.800000e-05	-3.810945e-03	3.828944e-03
-2.430000000000033e+00	-6.608433e-01	-2.430000e+00	-1.800000e-05	3.810462e-03	-1.800000e-05	-3.810462e-03	3.828462e-03
-2.420000000000034e+00	-6.608433e-01	-2.420000e+00	-1.800000e-05	3.809980e-03	-1.800000e-05	-3.809980e-03	3.827980e-03
-2.410000000000034e+00	-6.608431e-01	-2.410000e+00	-1.800000e-05	3.809497e-03	-1.800000e-05	-3.809497e-03	3.827497e-03
-2.400000000000034e+00	-6.608430e-01	-2.400000e+00	-1.800000e-05	3.809015e-03	-1.800000e-05	-3.809015e-03	3.827015e-03
-2.390000000000034e+00	-6.608430e-01	-2.390000e+00	-1.800000e-05	3.808533e-03	-1.800000e-05	-3.808533e-03	3.826533e-03
-2.380000000000035e+00	-6.608428e-01	-2.380000e+00	-1.800000e-05	3.808050e-03	-1.800000e-05	-3.808050e-03	3.826050e-03
-2.370000000000035e+00	-6.608427e-01	-2.370000e+00	-1.800000e-05	3.807568e-03	-1.800000e-05	-3.807568e-03	3.825568e-03
-2.360000000000035e+00	-6.608427e-01	-2.360000e+00	-1.800000e-05	3.807086e-03	-1.800000e-05	-3.807086e-03	3.825086e-03
-2.350000000000035e+00	-6.608425e-01	-2.350000e+00	-1.800000e-05	3.806603e-03	-1.800000e-05	-3.806603e-03	3.824603e-03
-2.340000000000035e+00	-6.608425e-01	-2.340000e+00	-1.800000e-05	3.806121e-03	-1.800000e-05	-3.806121e-03	3.824121e-03
-2.330000000000036e+00	-6.608424e-01	-2.330000e+00	-1.800000e-05	3.805639e-03	-1.800000e-05	-3.805639e-03	3.823639e-03
-2.320000000000036e+00	-6.608422e-01	-2.320000e+00	-1.800000e-05	3.805156e-03	-1.800000e-05	-3.805156e-03	3.823156e-03
-2.310000000000036e+00	-6.608422e-01	-2.310000e+00	-1.800000e-05	3.804674e-03	-1.800000e-05	-3.804674e-03	3.822674e-03
-2.300000000000036e+00	-6.608421e-01	-2.300000e+00	-1.800000e-05	3.804191e-03	-1.800000e-05	-3.804191e-03	3.822192e-03
-2.290000000000036e+00	-6.608420e-01	-2.290000e+00	-1.800000e-05	3.803709e-03	-1.800000e-05	-3.803709e-03	3.821709e-03
-2.280000000000037e+00	-6.608419e-01	-2.280000e+00	-1.800000e-05	3.803227e-03	-1.800000e-05	-3.803227e-03	3.821227e-03
-2.270000000000037e+00	-6.608418e-01	-2.270000e+00	-1.800000e-05	3.802744e-03	-1.800000e-05	-3.802744e-03	3.820744e-03
-2.260000000000037e+00	-6.608417e-01	-2.260000e+00	-1.800000e-05	3.802262e-03	-1.800000e-05	-3.802262e-03	3.820262e-03
-2.250000000000037e+00	-6.608416e-01	-2.250000e+00	-1.800000e-05	3.801780e-03	-1.800000e-05	-3.801780e-03	3.819780e-03
-2.240000000000038e+00	-6.608415e-01	-2.240000e+00	-1.800000e-05	3.801297e-03	-1.800000e-05	-3.801297e-03	3.819297e-03
-2.230000000000038e+00	-6.608414e-01	-2.230000e+00	-1.800000e-05	3.800815e-03	-1.800000e-05	-3.800815e-03	3.818815e-03
-2.220000000000038e+00	-6.608413e-01	-2.220000e+00	-1.800000e-05	3.800333e-03	-1.800000e-05	-3.800333e-03	3.818333e-03
-2.210000000000038e+00	-6.608412e-01	-2.210000e+00	-1.800000e-05	3.799850e-03	-1.800000e-05	-3.799850e-03	3.817850e-03
-2.200000000000038e+00	-6.608411e-01	-2.200000e+00	-1.800000e-05	3.799368e-03	-1.800000e-05	-3.799368e-03	3.817368e-03
-2.190000000000039e+00	-6.608410e-01	-2.190000e+00	-1.800000e-05	3.798886e-03	-1.800000e-05	-3.798886e-03	3.816886e-03
-2.180000000000039e+00	-6.608409e-01	-2.180000e+00	-1.800000e-05	3.798403e-03	-1.800000e-05	-3.798403e-03	3.816403e-03
-2.170000000000039e+00	-6.608408e-01	-2.170000e+00	-1.800000e-05	3.797921e-03	-1.800000e-05	-3.797921e-03	3.815921e-03
-2.160000000000039e+00	-6.608407e-01	-2.160000e+00	-1.800000e-05	3.797438e-03	-1.800000e-05	-3.797438e-03	3.815439e-03
-2.150000000000039e+00	-6.608406e-01	-2.150000e+00	-1.800000e-05	3.796956e-03	-1.800000e-05	-3.796956e-03	3.814956e-03
-2.140000000000040e+00	-6.608405e-01	-2.140000e+00	-1.800000e-05	3.796474e-03	-1.800000e-05	-3.796474e-03	3.814474e-03
-2.130000000000040e+00	-6.608405e-01	-2.130000e+00	-1.800000e-05	3.795991e-03	-1.800000e-05	-3.795991e-03	3.813992e-03
